feature,shap_importance
count,2.026048100833985
dst_host_srv_count,1.9042588357726762
service,1.856908974134861
dst_host_srv_serror_rate,1.4235983348599541
logged_in,1.3183052098398929
dst_host_serror_rate,1.155216142800346
same_srv_rate,1.0043577662777652
flag,0.9861168739171765
dst_host_rerror_rate,0.7862891664733285
srv_diff_host_rate,0.7689551228016721
dst_host_count,0.7178337858136351
dst_host_diff_srv_rate,0.6422957223703952
dst_host_same_srv_rate,0.6006351848799671
diff_srv_rate,0.5974423981401691
srv_serror_rate,0.37204620188798604
srv_rerror_rate,0.14064625361487892
dst_host_srv_rerror_rate,0.1390927338946667
serror_rate,0.09097308683207837
rerror_rate,0.08888009477409771
