feature,shap_importance
flag,0.2594676149429369
logged_in,0.08561192278180518
dst_host_same_srv_rate,0.0665109599288019
service,0.03651656547160219
dst_host_rerror_rate,0.017115285989084607
same_srv_rate,0.01693137520613606
dst_host_srv_count,0.015010910960215663
dst_host_diff_srv_rate,0.01400062205264875
dst_host_count,0.011448562988390731
srv_rerror_rate,0.004441970591027451
dst_host_srv_serror_rate,0.004203786687178664
count,0.002578553819483292
serror_rate,0.0018652540326657599
dst_host_srv_rerror_rate,0.00016767148383118683
dst_host_serror_rate,0.00011014833713069061
srv_diff_host_rate,1.4593911327038167e-05
diff_srv_rate,0.0
srv_serror_rate,0.0
rerror_rate,0.0
