feature,shap_importance
flag,0.1654332241172841
dst_host_srv_count,0.05846979958902846
logged_in,0.05490074234384005
diff_srv_rate,0.049383009004158984
dst_host_same_srv_rate,0.04220235684798251
count,0.03874698159952192
service,0.03567475102364108
same_srv_rate,0.025907984690965884
dst_host_diff_srv_rate,0.0185152120224519
dst_host_rerror_rate,0.017630157102367268
dst_host_count,0.013936570081558217
srv_diff_host_rate,0.003885203368075659
dst_host_serror_rate,0.00327928627962743
dst_host_srv_rerror_rate,0.0029834397444802392
srv_rerror_rate,0.00276276459511218
srv_serror_rate,0.001189111888398915
serror_rate,0.0010802468040703476
dst_host_srv_serror_rate,0.0009743889019842511
rerror_rate,1.2279378245028296e-05
