feature,mean_importance
srv_diff_host_rate,-1.3877787807814457e-17
dst_host_srv_count,2.7755575615628915e-18
srv_rerror_rate,6.474612884783127e-05
dst_host_srv_rerror_rate,0.00023270029126742643
dst_host_count,0.00036095178455299303
diff_srv_rate,0.0005725469452880439
dst_host_diff_srv_rate,0.0018678042621637276
dst_host_rerror_rate,0.002430632861837026
rerror_rate,0.003158105040477624
serror_rate,0.006565224419357779
dst_host_serror_rate,0.0127100437222819
srv_serror_rate,0.013191621230201758
service,0.01753517829696738
same_srv_rate,0.022359310693381353
dst_host_srv_serror_rate,0.023009982770166363
count,0.06052581318913548
dst_host_same_srv_rate,0.09191342709166969
logged_in,0.11516227011328155
level,0.2967691888525942
flag,0.45233028673929077
