feature,mean_importance
srv_rerror_rate,5.081551399432234e-05
rerror_rate,6.890050523040598e-05
dst_host_srv_rerror_rate,8.97915279041206e-05
diff_srv_rate,0.00017222428052404495
same_srv_rate,0.0003437666195631314
srv_diff_host_rate,0.00036100831218968606
srv_serror_rate,0.00047024863199778813
dst_host_srv_serror_rate,0.0011378932154660682
dst_host_same_srv_rate,0.0012674990808984638
serror_rate,0.0013740070051200938
dst_host_diff_srv_rate,0.00315443488054227
dst_host_serror_rate,0.004813594787165541
dst_host_srv_count,0.006312981430954154
flag,0.006610847415619879
dst_host_rerror_rate,0.010242996003075853
logged_in,0.01117567860613648
count,0.04018431436055263
dst_host_count,0.05265094790918166
service,0.11569148263652222
level,0.21517180819265533
