name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,logloss,0.0027288351028119822,50.6
2_Default_RandomForest,Random Forest,logloss,0.07908265792603279,12.92
Ensemble,Ensemble,logloss,0.0027288351028119822,4.11
