feature,mean_importance
srv_rerror_rate,6.128397343855172e-05
rerror_rate,7.026461091259135e-05
dst_host_srv_rerror_rate,0.00019092260772922827
diff_srv_rate,0.0002667442920639508
srv_serror_rate,0.000297790430383596
srv_diff_host_rate,0.0003701558041758008
serror_rate,0.0004354755798693814
dst_host_same_srv_rate,0.0005720692358067413
same_srv_rate,0.0013551629798583017
dst_host_srv_serror_rate,0.0013885738844772164
dst_host_rerror_rate,0.0026783098636270013
dst_host_diff_srv_rate,0.002887934280473297
dst_host_serror_rate,0.0029790252519898636
logged_in,0.003400535940723967
dst_host_srv_count,0.005331549095610137
flag,0.005333038970252237
dst_host_count,0.036008611379050245
count,0.03620623796558476
level,0.2162930150772115
service,0.3552939327841599
