name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,logloss,0.0027448898198968144,139.93,0.0367
2_Default_Xgboost,Xgboost,logloss,0.002792003557555456,112.73,0.0336
3_Default_CatBoost,CatBoost,logloss,0.003912386514744592,134.31,0.0348
5_Default_RandomForest,Random Forest,logloss,0.07864189498053281,54.4,0.0768
9_LightGBM,LightGBM,logloss,0.002518866487293482,235.08,0.0338
5_Xgboost,Xgboost,logloss,0.0030602723373400163,84.37,0.0332
13_CatBoost,CatBoost,logloss,0.0028945650400694976,188.97,0.0338
17_RandomForest,Random Forest,logloss,0.07543306155088961,35.01,0.0879
10_LightGBM,LightGBM,logloss,0.0026820827012086273,79.34,0.0348
6_Xgboost,Xgboost,logloss,0.0027719393524081415,62.91,0.0327
14_CatBoost,CatBoost,logloss,0.0031285431613394567,167.7,0.0331
18_RandomForest,Random Forest,logloss,0.028524002561136005,57.56,0.0832
11_LightGBM,LightGBM,logloss,0.0027595711406835544,143.77,0.0333
7_Xgboost,Xgboost,logloss,0.004558466160204047,111.42,0.0345
15_CatBoost,CatBoost,logloss,0.0034426830019910542,82.35,0.0342
19_RandomForest,Random Forest,logloss,0.10510326545921207,61.13,0.1107
12_LightGBM,LightGBM,logloss,0.0032400548819325626,149.53,0.0355
8_Xgboost,Xgboost,logloss,0.0080975615932167,91.03,0.0415
16_CatBoost,CatBoost,logloss,0.003149186760937842,76.99,0.0337
20_RandomForest,Random Forest,logloss,0.03644137707120568,36.85,0.0741
9_LightGBM_GoldenFeatures,LightGBM,logloss,0.0027069289635200024,276.62,0.0546
10_LightGBM_GoldenFeatures,LightGBM,logloss,0.003094647365147747,75.48,0.0519
1_Default_LightGBM_GoldenFeatures,LightGBM,logloss,0.0030669679372351093,138.31,0.0525
21_LightGBM,LightGBM,logloss,0.0025953793197902573,361.63,0.0339
22_LightGBM,LightGBM,logloss,0.0025148091003261517,215.39,0.0345
23_LightGBM,LightGBM,logloss,0.0027476151713449514,62.63,0.0325
24_LightGBM,LightGBM,logloss,0.0024553112514467384,122.77,0.0328
25_LightGBM,LightGBM,logloss,0.002445998216044699,131.36,0.0325
26_Xgboost,Xgboost,logloss,0.0027569538110211933,64.84,0.0723
Ensemble,Ensemble,logloss,0.002352611560786209,39.54,0.164
