feature,shap_importance
flag,0.24597086197965778
logged_in,0.09874007322793012
dst_host_same_srv_rate,0.0737912723320686
service,0.04169524048484791
same_srv_rate,0.0212926844661481
dst_host_rerror_rate,0.017267023952644893
dst_host_count,0.00854436962598708
diff_srv_rate,0.008318989697162714
dst_host_srv_count,0.005813880683546039
dst_host_srv_serror_rate,0.004789560175745834
dst_host_diff_srv_rate,0.0047751841666192904
srv_rerror_rate,0.004108955708790036
count,0.0024491193072400694
srv_diff_host_rate,0.000449269812469279
rerror_rate,0.00027488899327254027
serror_rate,0.00020201209261530898
dst_host_srv_rerror_rate,0.00019503339629811246
dst_host_serror_rate,0.00010862864219042922
srv_serror_rate,0.0
