feature,shap_importance
flag,0.2594567178045674
logged_in,0.09429643483688094
dst_host_same_srv_rate,0.07165989955937511
service,0.0387056930370589
dst_host_rerror_rate,0.01905320518562164
dst_host_srv_count,0.011124841216587437
dst_host_count,0.00996704993714033
same_srv_rate,0.007872932349584232
dst_host_diff_srv_rate,0.0071809715151171915
dst_host_srv_serror_rate,0.004477788805756021
count,0.004460936775330076
srv_rerror_rate,0.0039045027558634324
diff_srv_rate,0.002682588995133309
srv_diff_host_rate,0.000866940160201432
rerror_rate,0.0003058275483867962
srv_serror_rate,0.00015383711043120575
dst_host_srv_rerror_rate,7.216200423858213e-05
dst_host_serror_rate,5.485506418952922e-05
serror_rate,2.82494802301794e-05
