feature,mean_importance
srv_rerror_rate,4.078097641781351e-05
dst_host_srv_rerror_rate,0.00017845129845944262
rerror_rate,0.000255913488333484
diff_srv_rate,0.0002648368068623382
srv_diff_host_rate,0.00030464005051667977
serror_rate,0.0004455468612326306
same_srv_rate,0.0004606715703541846
srv_serror_rate,0.001122476238963428
dst_host_same_srv_rate,0.0011252885451718598
dst_host_srv_serror_rate,0.0026658423174474575
flag,0.0036056925819614705
dst_host_serror_rate,0.004725874342360256
dst_host_srv_count,0.005215665785655859
dst_host_diff_srv_rate,0.005920922706303625
dst_host_rerror_rate,0.009947956095902193
logged_in,0.020004050834290514
count,0.0375581194801647
dst_host_count,0.04636863778407359
service,0.13114822462724413
level,0.22750628194904624
