feature,shap_importance
dst_host_srv_serror_rate,2.842141038996366
level,2.3677259694726396
flag,2.3646598589888286
count,1.6516654909040365
same_srv_rate,1.0836907875785489
dst_host_same_srv_rate,1.0369206879316275
service,0.9939474035738524
logged_in,0.5673540651811784
dst_host_rerror_rate,0.4387408854944158
dst_host_serror_rate,0.3734463996080973
dst_host_srv_count,0.3516854281275649
dst_host_count,0.31939224161410285
dst_host_diff_srv_rate,0.29506239753230146
dst_host_srv_rerror_rate,0.21322568038356382
diff_srv_rate,0.1644289729115479
srv_serror_rate,0.1041957041733145
srv_diff_host_rate,0.0655256285330623
serror_rate,0.046288097555503824
rerror_rate,0.039461058272779716
srv_rerror_rate,0.03191874558431936
