feature,mean_importance
srv_rerror_rate,2.0093177023996436e-05
rerror_rate,4.458175998237265e-05
diff_srv_rate,6.608969792714515e-05
srv_serror_rate,0.00015920141437986892
dst_host_srv_rerror_rate,0.00018682147696358933
srv_diff_host_rate,0.00029261639953567613
serror_rate,0.0010859193958456738
dst_host_serror_rate,0.0023374777534564185
dst_host_diff_srv_rate,0.0026335582451400856
same_srv_rate,0.0031808926109688496
dst_host_rerror_rate,0.003906738605232827
logged_in,0.004258382137197614
dst_host_srv_count,0.0073211492097197016
flag,0.012441944460720073
dst_host_same_srv_rate,0.013968725059240785
dst_host_count,0.025490800251572326
dst_host_srv_serror_rate,0.1862189262722465
count,0.19271038532119503
service,0.22093868349233622
level,0.4635133841820164
