feature,mean_importance
diff_srv_rate,0.00020330944103157076
srv_serror_rate,0.00020410949366088082
rerror_rate,0.0003680999536030377
same_srv_rate,0.0008575078738247658
dst_host_srv_serror_rate,0.0009843781574332938
srv_diff_host_rate,0.0013590152545679217
serror_rate,0.0015639196653743214
srv_rerror_rate,0.002904609528635078
dst_host_srv_rerror_rate,0.004724813700172733
dst_host_serror_rate,0.005628054731481354
flag,0.008623542759226046
dst_host_diff_srv_rate,0.017318131531443598
dst_host_same_srv_rate,0.017495070187429282
logged_in,0.022705383040143155
count,0.03615297469475989
dst_host_rerror_rate,0.04916520019415317
dst_host_srv_count,0.05775750336923544
dst_host_count,0.10116806947238137
service,0.25658205323904226
