feature,shap_importance
flag,0.24335643673980062
logged_in,0.09900116240674096
dst_host_same_srv_rate,0.07678476065377547
service,0.046152343890411784
dst_host_rerror_rate,0.019231570250557994
same_srv_rate,0.018429114725396736
dst_host_count,0.007759757667024608
dst_host_srv_count,0.007691180870110508
dst_host_diff_srv_rate,0.007327963286855958
srv_rerror_rate,0.005696612030587516
diff_srv_rate,0.004841742019679272
dst_host_srv_serror_rate,0.004637700650899329
count,0.003429662010492906
serror_rate,0.0005351427496748227
rerror_rate,0.0004025403093484879
dst_host_serror_rate,0.00033061902656236763
srv_diff_host_rate,0.00032200076639385866
dst_host_srv_rerror_rate,0.00032000530227202327
srv_serror_rate,3.4293809108793508e-06
