name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6907539926924527,2.04
2_DecisionTree,Decision Tree,logloss,0.13334317888732325,22.0
3_Default_Xgboost,Xgboost,logloss,0.0026029712561407648,23.41
5_Default_RandomForest,Random Forest,logloss,0.07882856560079227,15.34
Ensemble,Ensemble,logloss,0.0026029712561407648,0.52
