feature,shap_importance
flag,0.25961210521549843
level,0.09993010847855459
dst_host_same_srv_rate,0.07950953267104542
logged_in,0.029794392629052733
count,0.02449734071007707
same_srv_rate,0.02435688539253099
dst_host_srv_serror_rate,0.010047469777101045
service,0.007056096910348616
dst_host_serror_rate,0.0052185017642826384
dst_host_srv_count,0.004096261462954532
dst_host_diff_srv_rate,0.003753662655756262
serror_rate,0.002582886405156634
dst_host_rerror_rate,0.0015126090072832235
srv_serror_rate,0.0011396727614622142
rerror_rate,0.0008789842000462946
dst_host_count,0.0004891728727944998
diff_srv_rate,0.0002833063681180586
dst_host_srv_rerror_rate,7.407008761733988e-05
srv_rerror_rate,5.147278968237681e-05
srv_diff_host_rate,0.0
