feature,mean_importance
dst_host_srv_rerror_rate,4.6731791244143756e-05
srv_rerror_rate,0.00019739403061898403
rerror_rate,0.0002044820065156807
srv_serror_rate,0.0003212373233610665
diff_srv_rate,0.000336752874290217
srv_diff_host_rate,0.000428197937312031
same_srv_rate,0.0011045168245356798
logged_in,0.0014644264436871244
serror_rate,0.001714149519707719
dst_host_diff_srv_rate,0.0030039622916816096
dst_host_srv_serror_rate,0.004067490195716549
dst_host_rerror_rate,0.0057195638185554825
dst_host_serror_rate,0.005895398372122499
dst_host_srv_count,0.0074196258032221876
dst_host_count,0.022071075346287695
dst_host_same_srv_rate,0.027995470385206316
flag,0.037255157702001565
count,0.05759562947467396
service,0.23005396699024633
level,0.3356794702868721
