feature,mean_importance
srv_rerror_rate,3.12752158000037e-05
diff_srv_rate,0.00012160571757364674
rerror_rate,0.00016807399059154952
dst_host_srv_rerror_rate,0.00018068020169159996
serror_rate,0.00024728883827403034
srv_diff_host_rate,0.0003843028236344821
srv_serror_rate,0.0008812651792290558
same_srv_rate,0.000951422867595904
dst_host_srv_serror_rate,0.0015386912756263974
dst_host_same_srv_rate,0.0016349680734744833
dst_host_serror_rate,0.004334107991184189
flag,0.004711085828429834
dst_host_srv_count,0.005351284851322707
dst_host_diff_srv_rate,0.006401651171700669
dst_host_rerror_rate,0.010006913381720245
logged_in,0.023211140188257946
count,0.026644456638483877
dst_host_count,0.0680998381963408
service,0.11034973941714969
level,0.2199489786450363
