feature,mean_importance
rerror_rate,5.1220188433587135e-05
srv_rerror_rate,9.416805816173066e-05
diff_srv_rate,0.00018509223172226533
srv_serror_rate,0.00019088059757034942
same_srv_rate,0.0002310664223788425
srv_diff_host_rate,0.00025130774775746335
dst_host_srv_rerror_rate,0.0005299734000672196
serror_rate,0.001292965501209634
logged_in,0.0018235636559838682
dst_host_same_srv_rate,0.0023823357178911855
flag,0.002415762366823037
dst_host_diff_srv_rate,0.0034939868566027524
dst_host_serror_rate,0.0035116184172758968
dst_host_srv_serror_rate,0.0059066241876370145
dst_host_srv_count,0.006365180920895214
dst_host_rerror_rate,0.007866069500619532
count,0.02666155834454769
dst_host_count,0.027649182520484906
service,0.2075684960847745
level,0.2487461188539244
