feature,mean_importance
rerror_rate,3.0169041264478063e-05
srv_rerror_rate,6.830769977658616e-05
srv_serror_rate,8.879970222310848e-05
srv_diff_host_rate,0.00022959439399879053
dst_host_srv_rerror_rate,0.00025879283640073387
diff_srv_rate,0.0003267925445138005
serror_rate,0.0020040280281646864
same_srv_rate,0.0020116094108988338
dst_host_serror_rate,0.002284374787360301
dst_host_diff_srv_rate,0.0028490059143080654
logged_in,0.0032961673397634062
dst_host_rerror_rate,0.004603929791725386
dst_host_srv_count,0.007785401127899616
dst_host_same_srv_rate,0.011441112608975032
flag,0.013545167293176941
dst_host_count,0.025124908125453083
dst_host_srv_serror_rate,0.1056739695573889
count,0.1543009834989729
service,0.22874725075070407
level,0.4776623476895687
