feature,shap_importance
flag,0.26326293954537516
logged_in,0.09760694894641296
dst_host_same_srv_rate,0.0722192912249354
service,0.0521139295595989
dst_host_rerror_rate,0.015289645669733083
dst_host_diff_srv_rate,0.009546597875837146
dst_host_srv_count,0.009126911900016393
same_srv_rate,0.006249001711205091
dst_host_count,0.005910882192488471
dst_host_srv_serror_rate,0.0054900523707331565
srv_rerror_rate,0.004961190608467691
count,0.002182973511833681
rerror_rate,0.00023399753529503516
dst_host_srv_rerror_rate,0.00016239156325362542
dst_host_serror_rate,0.0001379439224685148
serror_rate,7.366971017033295e-06
diff_srv_rate,0.0
srv_diff_host_rate,0.0
srv_serror_rate,0.0
