feature,mean_importance
srv_diff_host_rate,5.882962084233223e-06
dst_host_srv_rerror_rate,0.00013192409408505356
srv_rerror_rate,0.00026975241571211285
dst_host_count,0.0008393027570056111
srv_serror_rate,0.0011562298148881378
dst_host_rerror_rate,0.0012295982943354793
rerror_rate,0.0017308013065988948
dst_host_diff_srv_rate,0.005030806611889796
serror_rate,0.005911965728235202
diff_srv_rate,0.006432104634681485
service,0.00791958568351096
dst_host_srv_count,0.00963836267916202
same_srv_rate,0.011889287140562818
dst_host_serror_rate,0.0147716795496911
dst_host_srv_serror_rate,0.025194619839109766
count,0.05299474216066837
logged_in,0.069460721082113
dst_host_same_srv_rate,0.10526302114178399
level,0.2727397815287693
flag,0.4680489408014612
