feature,shap_importance
flag,0.2533389524119317
level,0.10726270443266446
dst_host_same_srv_rate,0.08523512052314189
logged_in,0.028893101259733357
count,0.02150635035119374
same_srv_rate,0.020117487852526806
dst_host_srv_serror_rate,0.010389248052997941
service,0.007393749504468701
dst_host_serror_rate,0.0065904519283049474
dst_host_diff_srv_rate,0.0056409052886425394
dst_host_srv_count,0.004505080660937192
diff_srv_rate,0.0023348725568747993
serror_rate,0.001972452965513098
dst_host_rerror_rate,0.001295746325457668
rerror_rate,0.0008414380922059875
dst_host_count,0.0006594705901797545
srv_serror_rate,0.0005564946469654672
srv_rerror_rate,0.00016033102969728138
dst_host_srv_rerror_rate,7.055686623926883e-05
srv_diff_host_rate,2.762126121178281e-06
